Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,3372.32,3372.32
16-01-19,Deposit,,50.00,3422.32
16-02-19,Deposit,,50.00,3472.32
16-03-19,Deposit,,50.00,3522.32
16-04-19,Deposit,,50.00,3572.32
16-05-19,Deposit,,50.00,3622.32
16-06-19,Deposit,,50.00,3672.32
16-07-19,Deposit,,50.00,3722.32
16-08-19,Deposit,,50.00,3772.32
16-09-19,Deposit,,50.00,3822.32
16-10-19,Deposit,,50.00,3872.32
16-11-19,Deposit,,50.00,3922.32
16-12-19,Deposit,,50.00,3972.32
28-12-19,WIN (22.5% APR),,785.66,4757.98
