Date,Details,Debit,Credit,Balance (GBP)
#missing-data,WRT Coin Purchase,,25000.00,25000.00
06-01-15,WRT Coin Purchase,,99.90,25099.90
06-13-15,WRT Coin Purchase,,149.90,25249.80
07-14-15,WRT Coin Purchase,,54.90,25304.70
08-20-15,WRT Coin Purchase,,90.00,25394.70
08-24-15,WRT Coin Purchase,,149.90,25544.60
08-25-15,WRT Coin Purchase,,150.00,25694.60
08-27-15,WRT Coin Purchase,,149.90,25844.50
08-28-15,WRT Coin Purchase,,158.00,26002.50
09-09-15,WRT Coin Purchase,,93.00,26095.50
09-12-15,WRT Coin Purchase,,149.90,26245.40
09-20-15,WRT Coin Purchase,,190.00,26435.40
09-26-15,WRT Coin Purchase,,84.00,26519.40
09-27-15,WRT Coin Purchase,,140.00,26659.40
09-30-15,WRT Coin Purchase,,45.00,26704.40
10-12-15,WRT Coin Purchase,,45.00,26749.40
10-14-15,WRT Coin Purchase,,90.00,26839.40
10-17-15,WRT Coin Purchase,,240.00,27079.40
10-22-15,WRT Coin Purchase,,35.00,27114.40
10-26-15,WRT Coin Purchase,,149.90,27264.30
11-06-15,WRT Coin Purchase,,190.00,27454.30
05-18-18,WRT Coin Purchase,,20.00,27474.30
06-27-18,WRT Coin Purchase,,20.00,27494.30
12-01-19,WRT Coin Purchase,,49.90,27544.20
