Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,1000.00,1000.00
24-01-19,Deposit,,50.00,1050.00
25-01-19,Deposit,,50.00,1100.00
20-03-19,Deposit,,200.00,1300.00
16-04-19,Deposit,,50.00,1350.00
24-04-19,Deposit,,250.00,1600.00
29-04-19,Deposit,,250.00,1850.00
11-05-19,Deposit,,50.00,1900.00
15-06-19,Deposit,,50.00,1950.00
17-07-19,Deposit,,200.00,2150.00
22-07-19,Deposit,,400.00,2550.00
28-07-19,Deposit,,100.00,2650.00
28-07-19,Deposit,,700.00,3350.00
15-08-19,WIN (22.5% APR),,221.79,3571.79
